sample	Location	Young_Adult	Gender.x	Age	RunNumber	Library	SamplingLocation	Group	Groupv2	Order	sample_id	ID on Supplementary Figure 1b	Origin	Model	Adult_Pups	Cage	Gender	Age (Mice (weeks) - Human (Years))	Strain	SampleType	country_abbreviation	institute_abbreviation	within_group_number	sample_type_abbreviation	institute_full	new_sample_label	Analysis of
W1	AN	Adult	Unknown	Unknown	Run3	Nextera	Cecum	AN_Mus	WildMice	1	AN_1	-	Europe-France-Angers	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Angers	2	C	Kiel University	FR_CAU_Angers_2_C	Metagenomics
W2	AN	Adult	Unknown	Unknown	Run3	Nextera	Cecum	AN_Mus	WildMice	2	AN_2	-	Europe-France-Angers	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Angers	3	C	Kiel University	FR_CAU_Angers_3_C	Metagenomics
W3	AN	Adult	Unknown	Unknown	Run3	Nextera	Cecum	AN_Mus	WildMice	3	AN_3	-	Europe-France-Angers	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Angers	5	C	Kiel University	FR_CAU_Angers_5_C	Metagenomics
W4	AN	Adult	Unknown	Unknown	Run3	Nextera	Cecum	AN_Mus	WildMice	4	AN_4	-	Europe-France-Angers	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Angers	4	C	Kiel University	FR_CAU_Angers_4_C	Metagenomics
W5	AN	Adult	Unknown	Unknown	Run3	Nextera	Cecum	AN_Mus	WildMice	5	AN_5	-	Europe-France-Angers	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Angers	1	C	Kiel University	FR_CAU_Angers_1_C	Metagenomics
Bahti_H36	Bellinzona	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	6	Bellinzona_1	-	Europe-Switzerland-Bellinzona	SPF	Adult	Bel_1	Male	9	C57BL/6J	Feces	CH	USI	1	F	Università della Svizzera Italiana	CH_USI_1_F	Metagenomics
Bahti_H37	Bellinzona	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	7	Bellinzona_2	-	Europe-Switzerland-Bellinzona	SPF	Adult	Bel_1	Male	9	C57BL/6J	Feces	CH	USI	2	F	Università della Svizzera Italiana	CH_USI_2_F	Metagenomics
Bahti_H38	Bellinzona	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	8	Bellinzona_3	-	Europe-Switzerland-Bellinzona	SPF	Adult	Bel_3	Male	9	C57BL/6J	Feces	CH	USI	10	F	Università della Svizzera Italiana	CH_USI_10_F	Metagenomics
Bahti_H39	Bellinzona	Adult	Male	12	Run1	TruSeq	Feces	SPF	SPF	9	Bellinzona_4	-	Europe-Switzerland-Bellinzona	SPF	Adult	Bel_7	Male	12	C57BL/6J	Feces	CH	USI	27	F	Università della Svizzera Italiana	CH_USI_27_F	Metagenomics
Bahti_H40	Bellinzona	Adult	Male	12	Run1	TruSeq	Feces	SPF	SPF	10	Bellinzona_5	-	Europe-Switzerland-Bellinzona	SPF	Adult	Bel_7	Male	12	C57BL/6J	Feces	CH	USI	28	F	Università della Svizzera Italiana	CH_USI_28_F	Metagenomics
