"sample","Group","Location","Gender","SamplingLocation","Age","sample_id","new_sample_label"
"W1","WildMice","FR_CAU_Angers","Unknown","Cecum","Adult","AN_1","FR_CAU_Angers_2_C"
"W2","WildMice","FR_CAU_Angers","Unknown","Cecum","Adult","AN_2","FR_CAU_Angers_3_C"
"W3","WildMice","FR_CAU_Angers","Unknown","Cecum","Adult","AN_3","FR_CAU_Angers_5_C"
"W4","WildMice","FR_CAU_Angers","Unknown","Cecum","Adult","AN_4","FR_CAU_Angers_4_C"
"W5","WildMice","FR_CAU_Angers","Unknown","Cecum","Adult","AN_5","FR_CAU_Angers_1_C"
"Bahti_H26","SPF","CH_UNIBE","Male","Feces","Adult","Bern_1","CH_UNIBE_40_F"
"Bahti_H27","SPF","CH_UNIBE","Male","Feces","Adult","Bern_2","CH_UNIBE_43_F"
"Bahti_H28","SPF","CH_UNIBE","Male","Feces","Adult","Bern_3","CH_UNIBE_42_F"
"Bahti_H29","SPF","CH_UNIBE","Male","Feces","Adult","Bern_4","CH_UNIBE_41_F"
"W13","WildMice","DE_CAU_Cologne","Unknown","Cecum","Adult","CB_3","DE_CAU_Cologne_2_C"
"W15","WildMice","DE_CAU_Cologne","Unknown","Cecum","Adult","CB_5","DE_CAU_Cologne_4_C"
"W10","WildMice","FR_CAU_DivonneLesBains","Unknown","Cecum","Adult","DB_1","FR_CAU_DivonneLesBains_1_C"
"W6","WildMice","FR_CAU_DivonneLesBains","Unknown","Cecum","Adult","DB_2","FR_CAU_DivonneLesBains_3_C"
"W7","WildMice","FR_CAU_DivonneLesBains","Unknown","Cecum","Adult","DB_3","FR_CAU_DivonneLesBains_4_C"
"W8","WildMice","FR_CAU_DivonneLesBains","Unknown","Cecum","Adult","DB_4","FR_CAU_DivonneLesBains_5_C"
"W9","WildMice","FR_CAU_DivonneLesBains","Unknown","Cecum","Adult","DB_5","FR_CAU_DivonneLesBains_2_C"
"W16","WildMice","FR_CAU_Espelette","Unknown","Cecum","Adult","ES_1","FR_CAU_Espelette_4_C"
"W18","WildMice","FR_CAU_Espelette","Unknown","Cecum","Adult","ES_3","FR_CAU_Espelette_1_C"
"W20","WildMice","FR_CAU_Espelette","Unknown","Cecum","Adult","ES_5","FR_CAU_Espelette_3_C"
"W83","SPF","DE_ALUF","Male","Cecum","Adult","Freiburg_1","DE_ALUF_2_C"
"W87","SPF","DE_ALUF","Male","Cecum","Adult","Freiburg_5","DE_ALUF_1_C"
"W68","SPF","CH_UNG","Male","Cecum","Adult","Geneva_1","CH_UNG_4_C"
"W69","SPF","CH_UNG","Male","Cecum","Adult","Geneva_2","CH_UNG_3_C"
"W70","SPF","CH_UNG","Male","Cecum","Adult","Geneva_3","CH_UNG_5_C"
"W71","SPF","CH_UNG","Male","Cecum","Adult","Geneva_4","CH_UNG_2_C"
"W72","SPF","CH_UNG","Male","Cecum","Adult","Geneva_5","CH_UNG_1_C"
"Greece2","SPF","GR_BSRC","Male","Feces","Adult","Greece_7","GR_BSRC_2_F"
"W101","SPF","IT_HUNIMED","Male","Feces","Adult","Humanitas_2","IT_HUNIMED_4_F"
"W99","SPF","IT_HUNIMED","Male","Feces","Adult","Humanitas_5","IT_HUNIMED_2_F"
"Bahti_H44","SPF","TR_IMU","Male","Feces","Adult","Istanbul_4","TR_IMU_12_F"
"W73","SPF","DE_FSU","Male","Cecum","Adult","Jena_6","DE_FSU_1_C"
"W74","SPF","DE_FSU","Male","Cecum","Adult","Jena_7","DE_FSU_2_C"
"W75","SPF","DE_FSU","Male","Cecum","Adult","Jena_8","DE_FSU_3_C"
"W76","SPF","DE_FSU","Male","Cecum","Adult","Jena_9","DE_FSU_4_C"
"W77","SPF","DE_FSU","Male","Cecum","Adult","Jena_10","DE_FSU_5_C"
"W26","WildMice","FR_CAU_Louan","Unknown","Cecum","Adult","LO_1","FR_CAU_Louan_1_C"
"W27","WildMice","FR_CAU_Louan","Unknown","Cecum","Adult","LO_2","FR_CAU_Louan_4_C"
"W28","WildMice","FR_CAU_Louan","Unknown","Cecum","Adult","LO_3","FR_CAU_Louan_3_C"
"W29","WildMice","FR_CAU_Louan","Unknown","Cecum","Adult","LO_4","FR_CAU_Louan_2_C"
"W30","WildMice","FR_CAU_Louan","Unknown","Cecum","Adult","LO_5","FR_CAU_Louan_5_C"
"W22","WildMice","FR_CAU_MassifCentral","Unknown","Cecum","Adult","MC_2","FR_CAU_MassifCentral_3_C"
"W23","WildMice","FR_CAU_MassifCentral","Unknown","Cecum","Adult","MC_3","FR_CAU_MassifCentral_5_C"
