Y_features,unique_x_features,cumulative_frequency
N_methylproline,1,0.10548523206751054
Cytidine,1,0.21097046413502107
Choline,1,0.31645569620253167
Guanine,1,0.42194092827004215
Guanosine,1,0.5274261603375527
Histidine,1,0.6329113924050633
Hydroxypropionic_acid,1,0.7383966244725738
Lactic_acid,1,0.8438818565400843
Taurocholic_acid_3_sulfate,1,0.949367088607595
Methionine,2,1.160337552742616
Isovaleric_acid,2,1.3713080168776373
Cytidine_5_Monophosphate,2,1.5822784810126582
Adenosine,2,1.7932489451476792
Tyramine,2,2.0042194092827006
Xanthosine,2,2.2151898734177213
2_Deoxycytidine,2,2.4261603375527425
Taurine,2,2.6371308016877637
Phenylacetic_acid_,2,2.848101265822785
Biotin,2,3.059071729957806
Thymidine,2,3.2700421940928273
Leucine_Isoleucine,2,3.481012658227848
Uridine,2,3.691983122362869
Cinnamoylglycine,2,3.9029535864978904
Creatine,3,4.219409282700422
Trimethylamine,3,4.5358649789029535
Riboflavin,3,4.852320675105485
N_acetylornithine,3,5.168776371308017
Glycine,4,5.590717299578059
Pantothenic_acid,4,6.012658227848101
Phenylpropionylglycine,4,6.434599156118144
Carnosine,4,6.856540084388185
N_acetylglutamic_acid,5,7.383966244725738
Glyceric_acid,5,7.9113924050632916
Sorbitol,5,8.438818565400844
dAMP,5,8.966244725738397
Cellobiose_Lactose_Maltose,5,9.49367088607595
Allantoin,5,10.021097046413502
Arabinose_Ribose,5,10.548523206751055
Tyrosine_methyl_ester,5,11.075949367088606
Adenine,5,11.60337552742616
Asparagine,6,12.236286919831224
5_aminovaleric_acid,6,12.869198312236287
Stachydrine,6,13.502109704641349
Threonine,6,14.135021097046414
Phenyllactic_acid,6,14.767932489451477
Thymine,6,15.400843881856542
N6_acetyllysine,6,16.033755274261605
Glucosamine,6,16.666666666666664
Indole_3_propionate,6,17.29957805907173
5_hydroxyindole,7,18.037974683544302
4_pyridoxic_acid,7,18.776371308016877
Cholic_acid,7,19.514767932489452
Valine,8,20.35864978902954
Indole_3_acetate,8,21.202531645569618
Citric_acid,8,22.046413502109704
Cytosine,8,22.89029535864979
Phenylacetylglycine,9,23.839662447257385
Glutamine,9,24.78902953586498
Ophthalmic_acid,9,25.738396624472575
Indoleacetylglycine,10,26.79324894514768
Caproic_acid,10,27.848101265822784
Hydrocinnamic_acid,10,28.902953586497894
Carnitine,10,29.957805907172997
Uracil,10,31.0126582278481
3_nitrotyrosine,10,32.06751054852321
3_Hydroxybutyric_acid,10,33.12236286919831
Quinic_acid,11,34.28270042194092
Dopamine,11,35.44303797468354
N_methylglycine,11,36.60337552742617
Folate,11,37.76371308016878
Hypoxanthine,12,39.029535864978904
Alanine,12,40.29535864978903
3_4_Hydroxyphenylpropionic_acid,12,41.561181434599156
N_acetyl_b_alanine,12,42.82700421940928
Maltotriose_Raffinose,13,44.19831223628692
Fructose,13,45.56962025316456
Creatinine,14,47.04641350210971
3_methylhistdidine,14,48.52320675105485
4_Hydroxyphenylacetic_acid,14,50.0
Tyrosine,14,51.47679324894515
Spermidine,14,52.95358649789029
Cysteine,15,54.53586497890295
Glutathione,15,56.118143459915615
Nicotinic_acid,16,57.80590717299579
Hyocholic_acid,16,59.49367088607595
Phenol,16,61.18143459915611
Hydroxyproline,18,63.0801687763713
Gluconic_acid,21,65.29535864978902
Methionine_sulfoxide,21,67.51054852320675
5_hydroxylysine,21,69.72573839662446
Hippuric_acid,21,71.94092827004219
Putrescine,22,74.26160337552743
Indoxyl_sulfate,22,76.58227848101265
1_Methyladenosine,23,79.0084388185654
Argininosuccinic_acid,23,81.43459915611815
Phenylalanine,23,83.86075949367088
Indole,24,86.39240506329115
Tryptophan,24,88.92405063291139
Spermine,27,91.77215189873418
N_acetyl_glycine,37,95.67510548523207
N_acetylaspartic_acid,41,100.0
