	Kingdom	Phylum	SGB
kSGB_7273_(Acetatifactor_muris)	Bacteria	Firmicutes	kSGB
kSGB_5736_(Acidaminococcus_intestini)	Bacteria	Firmicutes	kSGB
uSGB_40901_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_41016_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_43754_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_41011_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_41012_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_41018_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_14322_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_14334_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_59489_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_14341_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_66232_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_14336_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_63103_(Actinobacteria_phylum)	Bacteria	Actinobacteria	uSGB
uSGB_47548_(Actinobacteria_unclassified_family)	Bacteria	Actinobacteria	uSGB
kSGB_7269_(Acutalibacter_muris)	Bacteria	Firmicutes	kSGB
kSGB_29419_(Acutalibacter_sp_1XD8_33)	Bacteria	Firmicutes	kSGB
kSGB_14993_(Agathobaculum_butyriciproducens)	Bacteria	Firmicutes	kSGB
kSGB_9225_(Akkermansia_muciniphila)	Bacteria	Verrucomicrobia	kSGB
kSGB_9226_(Akkermansia_muciniphila)	Bacteria	Verrucomicrobia	kSGB
kSGB_9228_(Akkermansia_muciniphila)	Bacteria	Verrucomicrobia	kSGB
kSGB_2301_(Alistipes_finegoldii)	Bacteria	Bacteroidetes	kSGB
kSGB_2325_(Alistipes_indistinctus)	Bacteria	Bacteroidetes	kSGB
kSGB_2286_(Alistipes_inops)	Bacteria	Bacteroidetes	kSGB
kSGB_2290_(Alistipes_obesi)	Bacteria	Bacteroidetes	kSGB
kSGB_2303_(Alistipes_onderdonkii)	Bacteria	Bacteroidetes	kSGB
kSGB_2318_(Alistipes_putredinis)	Bacteria	Bacteroidetes	kSGB
kSGB_2295_(Alistipes_shahii)	Bacteria	Bacteroidetes	kSGB
kSGB_2299_(Alistipes_timonensis)	Bacteria	Bacteroidetes	kSGB
kSGB_5843_(Allisonella_histaminiformans)	Bacteria	Firmicutes	kSGB
uSGB_47197_(Alphaproteobacteria_unclassified_genus)	Bacteria	Proteobacteria	uSGB
kSGB_4532_(Anaerobutyricum_hallii)	Bacteria	Firmicutes	kSGB
kSGB_4537_(Anaerobutyricum_hallii)	Bacteria	Firmicutes	kSGB
kSGB_14894_(Anaeromassilibacillus_sp_An250)	Bacteria	Firmicutes	kSGB
uSGB_59707_(Anaerostipes_genus)	Bacteria	Firmicutes	uSGB
kSGB_4540_(Anaerostipes_hadrus)	Bacteria	Firmicutes	kSGB
kSGB_4547_(Anaerostipes_hadrus)	Bacteria	Firmicutes	kSGB
kSGB_5190_(Anaerotignum_faecicola)	Bacteria	Firmicutes	kSGB
kSGB_5193_(Anaerotignum_lactatifermentans)	Bacteria	Firmicutes	kSGB
kSGB_14965_(Anaerotruncus_massiliensis)	Bacteria	Firmicutes	kSGB
kSGB_25416_(Anaerotruncus_rubiinfantis)	Bacteria	Firmicutes	kSGB
kSGB_14798_(Asaccharobacter_celatus)	Bacteria	Actinobacteria	kSGB
uSGB_14797_(Asaccharobacter_genus)	Bacteria	Actinobacteria	uSGB
kSGB_991_(Atopobium_vaginae)	Bacteria	Actinobacteria	kSGB
uSGB_41446_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41461_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41457_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41445_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41459_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41453_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41451_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41455_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41456_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41463_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41460_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41458_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41447_(Bacteria_unclassified_family)	Bacteria	Unknown	uSGB
uSGB_41589_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41587_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41586_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41588_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41584_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41583_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_63107_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41585_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41677_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41591_(Bacteria_unclassified_genus)	Bacteria	Unknown	uSGB
uSGB_41655_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41597_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41592_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41663_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41574_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41654_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41580_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41594_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41579_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41569_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_44083_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41543_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41568_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41581_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41598_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41570_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41601_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41576_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41546_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_59801_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41595_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41545_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41657_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_59765_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41602_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41531_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41658_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41507_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41656_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41551_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41567_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41532_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41258_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41544_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41575_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41709_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41662_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41549_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_59828_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41506_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41542_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41600_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41603_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41548_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_59804_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41547_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41659_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41593_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
uSGB_41562_(Bacteria_unclassified_phylum)	Bacteria	Unknown	uSGB
kSGB_29428_(bacterium_0_1xD8_71)	Bacteria	Unknown	kSGB
kSGB_29425_(bacterium_0_1xD8_82)	Bacteria	Unknown	kSGB
kSGB_29420_(bacterium_1XD42_1)	Bacteria	Unknown	kSGB
kSGB_29426_(bacterium_1xD42_87)	Bacteria	Unknown	kSGB
kSGB_29416_(bacterium_1xD8_6)	Bacteria	Unknown	kSGB
kSGB_29429_(bacterium_1XD8_76)	Bacteria	Unknown	kSGB
kSGB_29430_(bacterium_D16_50)	Bacteria	Unknown	kSGB
kSGB_29422_(bacterium_D16_54)	Bacteria	Unknown	kSGB
kSGB_33556_(bacterium_D16_63)	Bacteria	Unknown	kSGB
kSGB_27771_(bacterium_J10_2018)	Bacteria	Unknown	kSGB
kSGB_14389_(bacterium_OL_1)	Bacteria	Unknown	kSGB
uSGB_40817_(Bacteroidaceae_family)	Bacteria	Bacteroidetes	uSGB
uSGB_40814_(Bacteroidaceae_family)	Bacteria	Bacteroidetes	uSGB
uSGB_1826_(Bacteroidaceae_family)	Bacteria	Bacteroidetes	uSGB
uSGB_1818_(Bacteroidaceae_family)	Bacteria	Bacteroidetes	uSGB
uSGB_65709_(Bacteroidaceae_family)	Bacteria	Bacteroidetes	uSGB
kSGB_27761_(Bacteroidales_bacterium)	Bacteria	Bacteroidetes	kSGB
kSGB_27762_(Bacteroidales_bacterium)	Bacteria	Bacteroidetes	kSGB
kSGB_27814_(Bacteroides_acidifaciens)	Bacteria	Bacteroidetes	kSGB
kSGB_1877_(Bacteroides_caccae)	Bacteria	Bacteroidetes	kSGB
kSGB_1863_(Bacteroides_caecimuris)	Bacteria	Bacteroidetes	kSGB
kSGB_1832_(Bacteroides_clarus)	Bacteria	Bacteroidetes	kSGB
kSGB_1878_(Bacteroides_congonensis)	Bacteria	Bacteroidetes	kSGB
kSGB_1891_(Bacteroides_coprocola)	Bacteria	Bacteroidetes	kSGB
kSGB_1815_(Bacteroides_dorei)	Bacteria	Bacteroidetes	kSGB
kSGB_1829_(Bacteroides_eggerthii)	Bacteria	Bacteroidetes	kSGB
kSGB_1860_(Bacteroides_faecis)	Bacteria	Bacteroidetes	kSGB
kSGB_1855_(Bacteroides_fragilis)	Bacteria	Bacteroidetes	kSGB
uSGB_40811_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1816_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1810_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1879_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1865_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_63895_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1854_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
uSGB_1866_(Bacteroides_genus)	Bacteria	Bacteroidetes	uSGB
kSGB_1812_(Bacteroides_massiliensis)	Bacteria	Bacteroidetes	kSGB
kSGB_1858_(Bacteroides_nordii)	Bacteria	Bacteroidetes	kSGB
kSGB_1872_(Bacteroides_ovatus)	Bacteria	Bacteroidetes	kSGB
kSGB_1871_(Bacteroides_ovatus)	Bacteria	Bacteroidetes	kSGB
kSGB_1903_(Bacteroides_plebeius)	Bacteria	Bacteroidetes	kSGB
kSGB_1857_(Bacteroides_salyersiae)	Bacteria	Bacteroidetes	kSGB
kSGB_1813_(Bacteroides_sartorii)	Bacteria	Bacteroidetes	kSGB
kSGB_27790_(Bacteroides_sp_NM69_E16B)	Bacteria	Bacteroidetes	kSGB
kSGB_1830_(Bacteroides_stercoris)	Bacteria	Bacteroidetes	kSGB
kSGB_1861_(Bacteroides_thetaiotaomicron)	Bacteria	Bacteroidetes	kSGB
kSGB_1836_(Bacteroides_uniformis)	Bacteria	Bacteroidetes	kSGB
kSGB_1814_(Bacteroides_vulgatus)	Bacteria	Bacteroidetes	kSGB
uSGB_21428_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40323_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_21431_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40306_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35935_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40310_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40368_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_63771_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40327_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35953_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40283_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40184_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40182_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40324_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35952_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40326_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40307_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40295_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35950_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40352_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_35575_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40070_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40356_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40522_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40300_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40294_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40285_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40312_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_48104_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40322_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40319_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40328_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40523_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_40344_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_63931_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_48495_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
