MicrobiotaName	Rockeffeler1	Rockeffeler2	Rockeffeler3	Rockeffeler4	Rockeffeler5	Crick1	Crick2	Crick3	Crick4	Crick5	Greece1	Greece2	Greece3	Greece4	Greece5	DKFZ1	DKFZ2	DKFZ3	DKFZ4	DKFZ5	Gothenburg1	Gothenburg2	Gothenburg3	Gothenburg4	Gothenburg5	Geneva1	Geneva2	Geneva3	Geneva4	Geneva5	Jena1	Jena2	Jena3	Jena4	Jena5	Champalimaud1	Champalimaud2	Champalimaud3	Champalimaud4	Champalimaud5	FreiburgM3	FreiburgM4	FreiburgM5	FreiburgF3	FreiburgF4	Humanitas1	Humanitas2	Humanitas3	Humanitas4	Humanitas5	Brazil2	Brazil3	Brazil4	Brazil5	Brazil6	WildMiceM1	WildMiceM2	WildMiceM3	WildMiceM4	WildMiceM5	Bern1	Bern2	Bern3	Bern4	Bern5
g_Bifidobacterium	10.22886502	3.380454825	9.505520883	3.225806452	6.706327745	3.812117086	4.157386785	3.781228899	3.890784983	3.751705321	0	0	0	0	0	12.75773196	11.35770235	11.27035831	11.42857143	5.778382053	8.126410835	8.212927757	8.006042296	1.687763713	1.691331924	10.93474427	11.13063855	12.32492997	12.49293386	12.93588301	0.370141888	0.433436533	0.506008855	0.119331742	0.118694362	0.755033557	0.095328885	0.161290323	1.322482197	1.323828921	14.76219889	2.163061564	2.97029703	0.520381613	11.35282121	2.048857368	2.055335968	2.044025157	2.058590657	1.611535199	9.836065574	13.65269461	12.21294363	12.28991597	12.1801433	0.0999001	0.096711799	0.099601594	0	0.401203611	0.576923077	0.5859375	0.578592093	0.580832527	0.589390963
s_Bifidobacterium_pseudolongum	10.08874358	3.31899201	9.313490158	3.163771712	6.598161168	3.744043567	4.083147736	3.713706955	3.822525597	3.683492497	0	0	0	0	0	0	0	0	0	0	7.900677201	7.984790875	7.854984894	1.582278481	1.691331924	0.235155791	0.234329233	0.280112045	0.282645562	0.281214848	0	0	0	0	0	0.67114094	0.095328885	0.161290323	1.220752798	1.323828921	14.39159975	2.079866889	2.887788779	0.433651344	11.08089735	1.891252955	1.976284585	1.965408805	1.90023753	1.526717557	9.56284153	13.29341317	11.89979123	11.97478992	11.87308086	0.0999001	0.096711799	0.099601594	0	0.401203611	0.576923077	0.5859375	0.578592093	0.580832527	0.589390963
g_Curtobacterium	0.186828585	0.061462815	0.192030725	0.062034739	0.162249865	0.408441116	0.371195249	0.405131668	0.409556314	0.409276944	0.168918919	0.168918919	0	0	0	0	0.065274151	0.06514658	0.064935065	0.271923861	2.407825433	2.661596958	2.719033233	16.24472574	16.17336152	0.117577895	0.117164616	0.056022409	0.056529112	0.05624297	0.678593461	0.80495356	0.948766603	0.357995227	0.356083086	0.167785235	0.190657769	0.64516129	0.2034588	0.203665988	0.432365658	0.249584027	0.247524752	0.173460538	0.407885792	0.157604413	0.158102767	0.157232704	0.158353127	0.169635284	0.819672131	0.958083832	0.939457203	0.945378151	0.818833163	0.699300699	0.580270793	0.697211155	0.232198142	0.702106319	0.865384615	0.87890625	0.867888139	0.87124879	0.884086444
s_Curtobacterium_flaccumfaciens	0.186828585	0.061462815	0.192030725	0.062034739	0.162249865	0.408441116	0.371195249	0.405131668	0.409556314	0.409276944	0.168918919	0.168918919	0	0	0	0	0.065274151	0.06514658	0.064935065	0.271923861	2.407825433	2.661596958	2.719033233	16.24472574	16.17336152	0.117577895	0.117164616	0.056022409	0.056529112	0.05624297	0.678593461	0.80495356	0.948766603	0.357995227	0.356083086	0.167785235	0.190657769	0.64516129	0.2034588	0.203665988	0.432365658	0.249584027	0.247524752	0.173460538	0.407885792	0.157604413	0.158102767	0.157232704	0.158353127	0.169635284	0.819672131	0.958083832	0.939457203	0.945378151	0.818833163	0.699300699	0.580270793	0.697211155	0.232198142	0.702106319	0.865384615	0.87890625	0.867888139	0.87124879	0.884086444
g_Adlercreutzia	0.140121439	0.307314075	0.144023044	0.310173697	0.216333153	0.544588155	0.445434298	0.540175557	0.546075085	0.477489768	0.253378378	0.253378378	0.414937759	0.485436893	0.488758553	0.193298969	0.195822454	0.195439739	0.194805195	0.203942896	0.376222724	0.456273764	0.453172205	0.421940928	0.422832981	0.411522634	0.468658465	0.280112045	0.282645562	0.281214848	0.493522517	0.557275542	0.569259962	0.417661098	0.474777448	0.167785235	0.095328885	0.080645161	0.2034588	0.203665988	0.185299568	0.249584027	0.247524752	0.346921075	0.203942896	2.048857368	2.055335968	2.044025157	2.058590657	0.42408821	0.273224044	0.359281437	0.313152401	0.31512605	0.307062436	0.1998002	0.193423598	0.199203187	0.232198142	0.401203611	0.576923077	0.68359375	0.578592093	0.580832527	0.68762279
s_Adlercreutzia_equolifaciens	0.046707146	0.061462815	0.048007681	0.062034739	0.054083288	0.136147039	0.07423905	0.135043889	0.136518771	0.136425648	0.084459459	0.084459459	0.10373444	0.097087379	0.097751711	0.06443299	0.065274151	0.06514658	0.064935065	0.067980965	0.15048909	0.152091255	0.151057402	0.105485232	0.105708245	0.117577895	0.117164616	0.112044818	0.113058225	0.05624297	0.123380629	0.123839009	0.126502214	0.119331742	0.118694362	0	0	0	0.1017294	0.101832994	0.061766523	0.083194676	0.082508251	0.086730269	0.067980965	0.472813239	0.4743083	0.550314465	0.554235946	0.084817642	0.068306011	0.119760479	0.104384134	0.105042017	0.102354145	0	0	0	0.077399381	0.100300903	0.192307692	0.1953125	0.192864031	0.193610842	0.196463654
s_Adlercreutzia_hattorii	0	0.061462815	0.048007681	0.062034739	0.054083288	0.068073519	0.07423905	0.067521945	0.068259386	0.068212824	0.084459459	0.084459459	0.10373444	0.097087379	0.097751711	0	0	0	0	0	0.075244545	0.076045627	0.075528701	0.105485232	0.105708245	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0.061919505	0.063251107	0.059665871	0.059347181	0	0	0	0	0	0	0	0	0	0	0.315208826	0.316205534	0.314465409	0.316706255	0.084817642	0	0	0	0	0	0	0	0	0	0.100300903	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Bacteroides_caccae	0.093414292	0.061462815	0.096015362	0.062034739	0.054083288	0	0	0	0	0	0	0	0	0	0	0.128865979	0.130548303	0.13029316	0.12987013	0.135961931	0	0	0	0	0	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0.061919505	0.063251107	0.059665871	0.059347181	0.083892617	0	0.080645161	0.1017294	0.101832994	0.061766523	0.083194676	0.082508251	0.086730269	0.067980965	0	0	0	0	0.084817642	0.136612022	0	0.104384134	0.105042017	0.102354145	0	0	0	0	0.100300903	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Bacteroides_caecimuris	0.887435778	1.2292563	0.912145943	1.240694789	1.081665765	0.272294078	0.296956199	0.270087779	0.273037543	0.272851296	1.435810811	1.435810811	1.037344398	0.970873786	0.977517107	1.159793814	1.174934726	1.172638436	1.168831169	1.223657376	0.376222724	0.380228137	0.377643505	0.421940928	0.422832981	1.76366843	1.757469244	1.568627451	1.526286037	1.51856018	2.035780382	2.043343653	1.897533207	2.386634845	2.37388724	1.845637584	1.811248808	1.774193548	1.831129196	1.731160896	1.667696109	1.49750416	1.567656766	1.474414571	1.631543168	0.709219858	0.711462451	0.70754717	0.712589074	1.441899915	2.868852459	0.958083832	1.565762004	1.470588235	1.53531218	0.4995005	0.483558994	0.498007968	0.309597523	1.604814443	2.307692308	2.34375	2.31436837	2.323330106	2.259332024
s_Bacteroides_eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
