	Gender	Content	Group	Location
W1	Unknown	Cecum	WildMice	AN
W2	Unknown	Cecum	WildMice	AN
W3	Unknown	Cecum	WildMice	AN
W4	Unknown	Cecum	WildMice	AN
W5	Unknown	Cecum	WildMice	AN
Bahti_H36	Male	Feces	SPF	Bellinzona
Bahti_H37	Male	Feces	SPF	Bellinzona
Bahti_H38	Male	Feces	SPF	Bellinzona
Bahti_H39	Male	Feces	SPF	Bellinzona
Bahti_H40	Male	Feces	SPF	Bellinzona
Bahti_H26	Female	Feces	SPF	Bern
Bahti_H27	Female	Feces	SPF	Bern
Bahti_H28	Female	Feces	SPF	Bern
Bahti_H29	Female	Feces	SPF	Bern
Bahti_H30	Female	Feces	SPF	Bern
W108	Female	Cecum	SPF	Bern
W109	Female	Cecum	SPF	Bern
W110	Female	Cecum	SPF	Bern
W111	Female	Cecum	SPF	Bern
W112	Female	Cecum	SPF	Bern
W93	Male	Cecum	SPF	RiodeJaneiro
W94	Male	Cecum	SPF	RiodeJaneiro
W95	Male	Cecum	SPF	RiodeJaneiro
W96	Male	Cecum	SPF	RiodeJaneiro
W97	Male	Cecum	SPF	RiodeJaneiro
W11	Unknown	Cecum	WildMice	CB
W12	Unknown	Cecum	WildMice	CB
W13	Unknown	Cecum	WildMice	CB
W14	Unknown	Cecum	WildMice	CB
W15	Unknown	Cecum	WildMice	CB
W78	Male	Cecum	SPF	Champalimaud
W79	Male	Cecum	SPF	Champalimaud
W80	Male	Cecum	SPF	Champalimaud
W81	Male	Cecum	SPF	Champalimaud
W82	Male	Cecum	SPF	Champalimaud
W48	Male	Cecum	SPF	Crick
W49	Male	Cecum	SPF	Crick
W50	Male	Cecum	SPF	Crick
W51	Male	Cecum	SPF	Crick
W52	Male	Cecum	SPF	Crick
Crick1	Male	Feces	SPF	Crick
Crick2	Male	Feces	SPF	Crick
Crick3	Male	Feces	SPF	Crick
Crick4	Male	Feces	SPF	Crick
W10	Unknown	Cecum	WildMice	DB
W6	Unknown	Cecum	WildMice	DB
W7	Unknown	Cecum	WildMice	DB
W8	Unknown	Cecum	WildMice	DB
W9	Unknown	Cecum	WildMice	DB
W16	Unknown	Cecum	WildMice	ES
W17	Unknown	Cecum	WildMice	ES
W18	Unknown	Cecum	WildMice	ES
W19	Unknown	Cecum	WildMice	ES
W20	Unknown	Cecum	WildMice	ES
W83	Male	Cecum	SPF	Freiburg
W84	Male	Cecum	SPF	Freiburg
W85	Male	Cecum	SPF	Freiburg
W86	Male	Cecum	SPF	Freiburg
W87	Male	Cecum	SPF	Freiburg
W68	Male	Cecum	SPF	Geneva
W69	Male	Cecum	SPF	Geneva
W70	Male	Cecum	SPF	Geneva
W71	Male	Cecum	SPF	Geneva
W72	Male	Cecum	SPF	Geneva
W53	Male	Cecum	SPF	Greece
W54	Male	Cecum	SPF	Greece
W55	Male	Cecum	SPF	Greece
W56	Male	Cecum	SPF	Greece
W57	Male	Cecum	SPF	Greece
Greece1	Male	Cecum	SPF	Greece
Greece2	Male	Cecum	SPF	Greece
Greece3	Male	Cecum	SPF	Greece
Greece4	Male	Cecum	SPF	Greece
W58	Male	Cecum	SPF	Jena
W59	Male	Cecum	SPF	Jena
W60	Male	Cecum	SPF	Jena
W61	Male	Cecum	SPF	Jena
W62	Male	Cecum	SPF	Jena
W100	Male	Feces	SPF	Humanitas
W101	Male	Feces	SPF	Humanitas
W102	Male	Feces	SPF	Humanitas
W98	Male	Feces	SPF	Humanitas
W99	Male	Feces	SPF	Humanitas
Bahti_H41	Male	Feces	SPF	Istanbul
Bahti_H42	Male	Feces	SPF	Istanbul
