	Group	Content
Zurich	WildMice	Feces_Cecum
Leiden	SPF	Feces
Bern	SPF	Feces_Cecum
Bellinzona	SPF	Feces
Istanbul	SPF	Feces
Postech	SPF	Cecum
Human	Human	Feces
Crick	SPF	Feces_Cecum
Greece	SPF	Feces_Cecum
Jagiellonian	SPF	Feces_Cecum
Rockefeller	SPF	Feces_Cecum
UK1	WildMice	Feces
UK2	WildMice	Feces
SKO	WildMice	Feces
Gothenburg	SPF	Feces_Cecum
AN	WildMice	Cecum
DB	WildMice	Cecum
Humanitas	SPF	Feces_Cecum
CB	WildMice	Cecum
ES	WildMice	Cecum
MC	WildMice	Cecum
LO	WildMice	Cecum
NAA	WildMice	Cecum
SL	WildMice	Cecum
Jena	SPF	Feces_Cecum
Geneva	SPF	Cecum
Champalimaud	SPF	Cecum
Freiburg	SPF	Cecum
RiodeJaneiro	SPF	Feces_Cecum
