	Human	Zurich	UK1	UK2	SKO	AN	DB	CB	ES	MC	LO	NAA	SL	Leiden	Bern	Bellinzona	Istanbul	Postech	Crick	Greece	Jagiellonian	Rockefeller	Gothenburg	Humanitas	Jena	Geneva	Champalimaud	Freiburg	RiodeJaneiro
kSGB_27763_(Muribaculaceae_bacterium_Isolate_001_NCI)	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
kSGB_7077_(Lactobacillus_murinus)	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1
kSGB_27761_(Bacteroidales_bacterium)	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1
kSGB_2088_(Muribaculum_intestinale)	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1
uSGB_21428_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1
kSGB_21584_(Paramuribaculum_intestinale)	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1
uSGB_35935_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1
uSGB_21441_(Muribaculaceae_family)	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1
kSGB_27767_(Muribaculaceae_bacterium_Isolate_013_NCI)	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0
kSGB_2087_(Muribaculaceae_bacterium_Isolate_102_HZI)	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1
uSGB_40368_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0
uSGB_41655_(Bacteria_unclassified_phylum)	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
uSGB_42317_(Firmicutes_phylum)	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0
uSGB_41518_(Firmicutes_phylum)	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1
uSGB_21431_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1
uSGB_40306_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0
uSGB_35895_(Rikenellaceae_family)	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1
