"W69","W71","W70","W1337","W4","W72","W1350","W1343","W36","W1332","Bahti_H3","W1336","W1321","W1326","W1351","W1312","W18","W1314","W1324","Bahti_H18","W1341","Bahti_H13","W1","W1323","W10","Bahti_H7","W1335","Bahti_H15","W1330","Bahti_H5","Bahti_H12","W1327","W1315","W6","W5","W1340","Bahti_H16","Bahti_H20","W1311","Bahti_H19","W1317","Bahti_H2","W101","W2","W25","W68","W1309","W34","Bahti_H17","W28","Bahti_H6","RF4","W7","W1310","W27","W30","W3","W26","W13","W37","W24","W20","W23","W16","W15","W1308","W99","W8","W33","W93","W77","W76","W73","W22","W74","W75","W9","Bahti_H28","Bahti_H27","W29","W83","W1318","W1333","Bahti_H44","Bahti_H26","W87","RF2","Bahti_H29","Greece2","Bahti_H1","product"
NA,0.695233930913863,NA,0.135184375455473,NA,NA,NA,NA,0.205995238789293,NA,0.162221250546568,NA,NA,NA,0.173808482728466,NA,0.213918132588881,NA,NA,NA,NA,NA,0.231744643637954,NA,0.154496429091969,0.283243453335277,NA,NA,0.162221250546568,NA,NA,NA,NA,0.297957398963084,NA,NA,NA,NA,NA,NA,NA,0.278093572365545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62221250546568,NA,NA,1.27459554000875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
NA,NA,0.279096045197742,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0620213433772759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TonB-dependent receptor P3"
NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177062669899345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No product information"
NA,NA,NA,0.183323606653049,0.0290989851830236,NA,1.30945433323606,0,0.117399354014268,0,0.0872969555490709,0.130945433323606,NA,NA,0.125252153613884,0,0.0523781733294425,0,0.785672599941638,0,NA,0.392836299970819,0.0683193565166641,0.261890866647213,0.174593911098142,0.125707615990662,NA,NA,0.112238942848805,0,NA,0.135795264187444,1.04756346658885,0,NA,0.130945433323606,NA,0,0.523781733294425,NA,NA,0.162552951712063,NA,NA,0.261890866647213,NA,NA,0.261890866647213,0,0,0.122215737768699,NA,0.0654727166618031,0,0.261890866647213,NA,NA,0.261890866647213,0,NA,NA,0.109121194436339,NA,NA,0,NA,NA,NA,0.785672599941638,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261890866647213,"hypothetical protein"
NA,NA,NA,0.275976976673736,0,NA,NA,NA,0,NA,0.275976976673736,NA,NA,NA,0.275976976673736,NA,0,NA,NA,NA,NA,NA,0.0551953953347471,NA,0.0689942441684339,0.275976976673736,NA,NA,NA,NA,NA,0.137988488336868,NA,0,NA,NA,NA,NA,NA,NA,NA,0.275976976673736,NA,NA,NA,0,NA,NA,NA,NA,0.275976976673736,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"No product information"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"hypothetical protein"
NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
NA,NA,NA,0.135032331685052,0.0771613323914582,NA,NA,NA,0.135032331685052,NA,0.108025865348041,NA,NA,NA,0.108025865348041,NA,0.0810193990110311,NA,NA,NA,NA,NA,0.0982053321345831,NA,0.150035924094502,0.108025865348041,NA,NA,0.202548497527578,NA,NA,0.135032331685052,NA,0.154322664782916,NA,NA,0.270064663370104,NA,NA,NA,1.35032331685052,0.135032331685052,NA,NA,NA,NA,NA,NA,0.810193990110311,NA,0.180043108913402,NA,0.135032331685052,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.270064663370104,NA,NA,NA,0.0675161658425259,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"Evolved beta-galactosidase subunit alpha"
NA,NA,NA,NA,0.133605600933489,0.534422403733958,NA,NA,0.0890704006223263,NA,NA,NA,NA,NA,NA,NA,0.133605600933489,NA,NA,NA,NA,NA,0.534422403733958,NA,0.400816802800468,NA,NA,NA,NA,NA,NA,NA,NA,0.133605600933489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133605600933489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133605600933489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133605600933489,NA,0,NA,"N-acetylhexosamine 1-kinase"
