Y_features,Negative,Positive
1_Methyladenosine,12,11
2_Deoxycytidine,2,0
3_4_Hydroxyphenylpropionic_acid,8,4
3_Hydroxybutyric_acid,3,7
3_methylhistdidine,6,8
3_nitrotyrosine,3,7
4_Hydroxyphenylacetic_acid,9,5
4_pyridoxic_acid,1,6
5_aminovaleric_acid,2,4
5_hydroxyindole,6,1
5_hydroxylysine,10,11
Adenine,5,0
Adenosine,1,1
Alanine,2,10
Allantoin,0,5
Arabinose_Ribose,2,3
Argininosuccinic_acid,11,12
Asparagine,1,5
Biotin,2,0
Caproic_acid,0,10
Carnitine,3,7
Carnosine,2,2
Cellobiose_Lactose_Maltose,0,5
Cholic_acid,4,3
Choline,0,1
Cinnamoylglycine,0,2
Citric_acid,5,3
Creatine,2,1
Creatinine,8,6
Cysteine,11,4
Cytidine,1,0
Cytidine_5_Monophosphate,2,0
Cytosine,4,4
Dopamine,8,3
Folate,5,6
Fructose,8,5
Gluconic_acid,8,13
Glucosamine,0,6
Glutamine,2,7
Glutathione,5,10
Glyceric_acid,5,0
Glycine,2,2
Guanine,0,1
Guanosine,1,0
Hippuric_acid,12,9
Histidine,0,1
Hydrocinnamic_acid,7,3
Hydroxyproline,5,13
Hydroxypropionic_acid,0,1
Hyocholic_acid,11,5
Hypoxanthine,6,6
Indole,16,8
Indole_3_acetate,6,2
Indole_3_propionate,5,1
Indoleacetylglycine,1,9
Indoxyl_sulfate,15,7
Isovaleric_acid,2,0
Lactic_acid,0,1
Leucine_Isoleucine,1,1
Maltotriose_Raffinose,4,9
Methionine,0,2
Methionine_sulfoxide,4,17
N6_acetyllysine,4,2
N_acetyl_b_alanine,5,7
N_acetyl_glycine,6,31
N_acetylaspartic_acid,16,25
N_acetylglutamic_acid,3,2
N_acetylornithine,2,1
N_methylglycine,3,8
N_methylproline,1,0
Nicotinic_acid,11,5
Ophthalmic_acid,5,4
Pantothenic_acid,1,3
Phenol,5,11
Phenylacetic_acid_,2,0
Phenylacetylglycine,7,2
Phenylalanine,12,11
Phenyllactic_acid,2,4
Phenylpropionylglycine,1,3
Putrescine,5,17
Quinic_acid,6,5
Riboflavin,1,2
Sorbitol,5,0
Spermidine,13,1
Spermine,6,21
Stachydrine,1,5
Taurine,1,1
Taurocholic_acid_3_sulfate,0,1
Threonine,1,5
Thymidine,0,2
Thymine,5,1
Trimethylamine,0,3
Tryptophan,16,8
Tyramine,0,2
Tyrosine,11,3
Tyrosine_methyl_ester,0,5
Uracil,4,6
Uridine,1,1
Valine,3,5
Xanthosine,0,2
dAMP,4,1
