#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist
bin.2.strict	uSGB_40962:Other:k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB28382|s__GGB28382_SGB40962|t__SGB40962:0.0202826527027027
bin.20.permissive	kSGB_9225:Species:k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__SGB9225:0.01968615510638298
bin.41.strict	uSGB_41592:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28901|s__GGB28901_SGB41592|t__SGB41592:0.0124271935
bin.1.strict	uSGB_4185:Other:k__Bacteria|p__Firmicutes|c__CFGB1323|o__OFGB1323|f__FGB1323|g__GGB3171|s__GGB3171_SGB4185|t__SGB4185:0.04067105
bin.40.orig	kSGB_27763:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_Isolate_001_NCI|t__SGB27763:0.043140135232067514
bin.34.strict	uSGB_65425:Other:k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB27483|o__OFGB27483|f__FGB27483|g__GGB47462|s__GGB47462_SGB65425|t__SGB65425:0.0319794
bin.45.orig	kSGB_29427:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_1XD42_69|t__SGB29427:0.03194235283018868
bin.36.permissive	uSGB_45217:Other:k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31839|s__GGB31839_SGB45217|t__SGB45217:0.0176413
bin.31.strict	kSGB_33553:Species:k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_sp_NM05_H27|t__SGB33553:0.02708613888888889
bin.8.permissive	uSGB_59899:Other:k__Bacteria|p__Firmicutes|c__CFGB9250|o__OFGB9250|f__FGB9250|g__GGB42695|s__GGB42695_SGB59899|t__SGB59899:0.09626555
bin.7.orig	uSGB_45212:Other:k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31836|s__GGB31836_SGB45212|t__SGB45212:0.010391773333333331
bin.33.strict	uSGB_42958:Family:k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB30051|s__GGB30051_SGB42958|t__SGB42958:0.0201115
bin.13.orig	uSGB_45219:Other:k__Bacteria|p__Fusobacteria|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31841|s__GGB31841_SGB45219|t__SGB45219:0.02222562083333333
bin.44.orig	uSGB_41495:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28836|s__GGB28836_SGB41495|t__SGB41495:0.01101453870967742
bin.25.strict	uSGB_41579:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28897|s__GGB28897_SGB41579|t__SGB41579:0.022973784615384612
bin.6.strict	uSGB_41601:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28908|s__GGB28908_SGB41601|t__SGB41601:0.014273212307692308
bin.11.strict	uSGB_35892:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24099|s__GGB24099_SGB35892|t__SGB35892:0.015355717651821863
bin.19.orig	uSGB_40329:Other:k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27894|s__GGB27894_SGB40329|t__SGB40329:0.0117286975
bin.26.orig	uSGB_41558:Other:k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28878|s__GGB28878_SGB41558|t__SGB41558:0.018679261290322578
bin.12.permissive	kSGB_17279:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum|t__SGB17279:0.028286364285714287
bin.22.orig	uSGB_40205:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB40205|t__SGB40205:0.023125632692307694
bin.38.strict	uSGB_43531:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30461|s__GGB30461_SGB43531|t__SGB43531:0.05039910476190477
bin.4.orig	uSGB_41268:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__GGB28645|s__GGB28645_SGB41268|t__SGB41268:0.01990038076923077
bin.23.strict	kSGB_7817:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lentus|t__SGB7817:0.04961020000000001
bin.43.orig	uSGB_42338:Other:k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836|f__FGB9836|g__GGB29546|s__GGB29546_SGB42338|t__SGB42338:0.022658690000000006
bin.16.orig	uSGB_40368:Other:k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395|f__FGB9395|g__GGB27929|s__GGB27929_SGB40368|t__SGB40368:0.01784788389830508
bin.9.orig	kSGB_21584:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_intestinale|t__SGB21584:0.012554732723880597
bin.39.orig	kSGB_2088:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale|t__SGB2088:0.013986654741784036
bin.42.orig	uSGB_41579:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28897|s__GGB28897_SGB41579|t__SGB41579:0.013735346153846155
bin.10.strict	uSGB_45211:Other:k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31835|s__GGB31835_SGB45211|t__SGB45211:0.010976157142857143
bin.3.orig	uSGB_41702:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB28989|s__GGB28989_SGB41702|t__SGB41702:0.020851171612903223
bin.18.orig	kSGB_27761:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium|t__SGB27761:0.03099878323275862
bin.30.permissive	uSGB_44083:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB10104|o__OFGB10104|f__FGB10104|g__GGB30861|s__GGB30861_SGB44083|t__SGB44083:0.01611015
bin.21.permissive	uSGB_42247:Family:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__GGB29468|s__GGB29468_SGB42247|t__SGB42247:0.0075678743606557375
bin.5.orig	uSGB_64267:Genus:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_SGB64267|t__SGB64267:0.0339916
bin.14.strict	kSGB_7077:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus|t__SGB7077:0.02109014826388889
bin.35.orig	uSGB_35935:Other:k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB24132|s__GGB24132_SGB35935|t__SGB35935:0.011022992514619884
bin.28.strict	uSGB_42949:Family:k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB30048|s__GGB30048_SGB42949|t__SGB42949:0.018833415555555552
bin.29.orig	uSGB_21441:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14014|s__GGB14014_SGB21441|t__SGB21441:0.006961835763888889
bin.27.permissive	kSGB_7040:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_taiwanensis|t__SGB7040:0.018169471428571424
bin.24.orig	kSGB_2087:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_Isolate_102_HZI|t__SGB2087:0.01975556809954751
bin.37.orig	uSGB_45219:Other:k__Bacteria|p__Fusobacteria|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31841|s__GGB31841_SGB45219|t__SGB45219:0.15168016666666667
