"gene","Bahti_H28","Bahti_H30","Bahti_H29","Bahti_H27","W1","W2","W4","W78","W5","W6","W10","W21","W30","W25","W26","W1332","W1351","W1343","W1321","W1312","W1344","W1336","W1337","W1335","W1314","W1319","W1341","Bahti_H19","W1330","Bahti_H16","Bahti_H18","W1350","W1308","Bahti_H15","W1324","W34","W1317","W1323","Bahti_H14","W27","W23","Bahti_H17","W1347","Bahti_H7","W31","Bahti_H12","W1333","W1325","W3","W1318","Bahti_H26","W24","W33","Bahti_H6","W29","W35","Bahti_H2","Bahti_H8","Bahti_H20","W13","W36","W18","Bahti_H13","W7","Bahti_H25","W37","Bahti_H24","Bahti_H10","RF4","W17","W1310","Bahti_H22","W22","W32","RF2","Bahti_H21","Bahti_H5","Greece2","W1340","W1326","W80","Greece1","W9","Bahti_H41","Bahti_H23","Bahti_H45","Bahti_H3","Greece3","W1322","Bahti_H1","product"
"GUT_GENOME000231_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No product information"
"GUT_GENOME000231_1_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_4",NA,NA,NA,NA,0,0,0,NA,0,0,0.137949836423119,NA,0,0,0.137949836423119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137949836423119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.137949836423119,0,0.551799345692478,0.275899672846239,0,0,0,0,0.275899672846239,0,0,0.551799345692478,0.137949836423119,0.275899672846239,0.137949836423119,0,0.275899672846239,0,0,0.137949836423119,0.0919665576154129,0,0.275899672846239,0.137949836423119,0,0.137949836423119,0,0,NA,0.137949836423119,0.0919665576154129,0,0.137949836423119,0,0,0.137949836423119,NA,0,"Hemolysin secretion protein D%2C chromosomal"
"GUT_GENOME000231_1_5",NA,NA,NA,NA,0.15201685731487,0.202689143086493,0.456050571944609,NA,0.304033714629739,0.304033714629739,0.202689143086493,0,0.304033714629739,0.304033714629739,0.202689143086493,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.202689143086493,0.304033714629739,0.304033714629739,0.304033714629739,0.202689143086493,0.405378286172986,0.304033714629739,0.304033714629739,0.304033714629739,0.202689143086493,0.304033714629739,0.304033714629739,0.304033714629739,0.608067429259478,0.304033714629739,NA,0.228025285972304,0.202689143086493,0.304033714629739,0.304033714629739,0.202689143086493,0.304033714629739,0.304033714629739,0.304033714629739,0.15201685731487,0.15201685731487,0.202689143086493,0.304033714629739,0.228025285972304,0.304033714629739,0.456050571944609,0.304033714629739,0.304033714629739,0.0760084286574348,0.202689143086493,0.304033714629739,0.304033714629739,0.202689143086493,0.304033714629739,0.0760084286574348,0.304033714629739,0.304033714629739,0.304033714629739,0.304033714629739,0.15201685731487,NA,0.304033714629739,0.202689143086493,0.608067429259478,0.304033714629739,0.608067429259478,0.304033714629739,0.304033714629739,0.15201685731487,0.304033714629739,"Lactococcin-G-processing and transport ATP-binding protein LagD"
"GUT_GENOME000231_1_6",NA,NA,NA,NA,NA,0,NA,NA,0.295665634674923,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0.591331269349845,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0.295665634674923,NA,0,0,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,0,"hypothetical protein"
"GUT_GENOME000231_1_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203548644338118,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.152661483253589,NA,NA,NA,NA,NA,NA,0.152661483253589,0.152661483253589,NA,NA,0.122129186602871,NA,0.152661483253589,NA,NA,NA,NA,NA,NA,NA,NA,0.197561919504644,NA,0.305322966507177,NA,NA,NA,NA,"Ribosomal RNA small subunit methyltransferase F"
"GUT_GENOME000231_1_8",NA,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,0.547169811320755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,NA,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,0.273584905660378,NA,NA,NA,0.547169811320755,NA,0.547169811320755,NA,NA,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,NA,NA,NA,NA,0.547169811320755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957547169811321,NA,0.957547169811321,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_9",NA,NA,NA,NA,0,0,0,NA,0,NA,0.266718506998444,NA,0,0,0.266718506998444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266718506998444,0,0,0,0.266718506998444,0,0,0,0,0,0,0,0,0,0,NA,0,0.266718506998444,0,0,0,0,0,0,0,0,0.266718506998444,0,0,0,0,0,0,0,0.266718506998444,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.266718506998444,NA,0.266718506998444,0,0,NA,0,"RNA polymerase sigma-H factor"
"GUT_GENOME000231_1_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.322448979591837,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
