#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist
bin.43.orig	uSGB_60664:Other:k__Bacteria|p__Bacteroidetes|c__CFGB13761|o__OFGB13761|f__FGB13761|g__GGB43352|s__GGB43352_SGB60664|t__SGB60664:0.312952
bin.28.orig	uSGB_41056:Other:k__Bacteria|p__Firmicutes|c__CFGB9534|o__OFGB9534|f__FGB9534|g__GGB28472|s__GGB28472_SGB41056|t__SGB41056:0.010741225
bin.64.permissive	uSGB_67352:Other:k__Bacteria|p__Proteobacteria|c__CFGB10407|o__OFGB10407|f__FGB10407|g__GGB31956|s__GGB31956_SGB67352|t__SGB67352:0.306598
bin.126.strict	kSGB_1878:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_congonensis|t__SGB1878:0.029031247368421057
bin.71.strict	kSGB_11030:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_sp_DCY119|t__SGB11030:0.07560386666666667
bin.121.strict	kSGB_12503:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_sp_NCPPB_1128|t__SGB12503:0.165251
bin.11.orig	kSGB_29429:Species:k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD8_76|t__SGB29429:0.039025775
bin.125.strict	uSGB_1788:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB1331|s__GGB1331_SGB1788|t__SGB1788:0.017033075
bin.116.strict	uSGB_41239:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28621|s__GGB28621_SGB41239|t__SGB41239:0.0675073406779661
bin.106.strict	uSGB_40204:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27789|s__GGB27789_SGB40204|t__SGB40204:0.016638712424242426
bin.53.orig	uSGB_41602:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28909|s__GGB28909_SGB41602|t__SGB41602:0.22144955555555554
bin.106.permissive	uSGB_40204:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27789|s__GGB27789_SGB40204|t__SGB40204:0.021525745454545452
bin.83.orig	uSGB_43006:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30093|s__GGB30093_SGB43006|t__SGB43006:0.01378052761904762
bin.54.strict	kSGB_5155:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD335|t__SGB5155:0.04343677578125
bin.73.orig	kSGB_58493:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Rhabdochlamydiaceae|g__Candidatus_Rhabdochlamydia|s__Candidatus_Rhabdochlamydia_sp_T3358|t__SGB58493:0.162655
bin.58.permissive	uSGB_43506:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB30449|s__GGB30449_SGB43506|t__SGB43506:0.04421529166666666
