"W69","W71","W70","W1337","W4","W72","W1350","W1343","W36","W1332","Bahti_H3","W1336","W1321","W1326","W1351","W1312","W18","W1314","W1324","Bahti_H18","W1341","Bahti_H13","W1","W1323","W10","Bahti_H7","W1335","Bahti_H15","W1330","Bahti_H5","Bahti_H12","W1327","W1315","W6","W5","W1340","Bahti_H16","Bahti_H20","W1311","Bahti_H19","W1317","Bahti_H2","W101","W2","W25","W68","W1309","W34","Bahti_H17","W28","Bahti_H6","RF4","W7","W1310","W27","W30","W3","W26","W13","W37","W24","W20","W23","W16","W15","W1308","W99","W8","W33","W93","W77","W76","W73","W22","W74","W75","W9","Bahti_H28","Bahti_H27","W29","W83","W1318","W1333","Bahti_H44","Bahti_H26","W87","RF2","Bahti_H29","Greece2","Bahti_H1","product"
NA,NA,NA,NA,0.231744643637954,NA,0.147473864133244,0.180245833940631,0.463489287275908,0.162221250546568,NA,0.162221250546568,0.180245833940631,0.20277656318321,NA,0.162221250546568,0.463489287275908,0.144840402273721,0.162221250546568,0.162221250546568,0.308992858183939,0.147473864133244,NA,0.162221250546568,0.695233930913863,NA,0.180245833940631,0.20277656318321,NA,0.180245833940631,0.154496429091969,NA,0.135184375455473,0,0,0.162221250546568,0.154496429091969,0.162221250546568,0.162221250546568,0.154496429091969,0.180245833940631,NA,NA,0.231744643637954,0.162221250546568,NA,0.308992858183939,0.147473864133244,0.173808482728466,0.13242551065026,NA,NA,0.231744643637954,0.347616965456931,0.162221250546568,NA,0.463489287275908,0.147473864133244,0.231744643637954,0.231744643637954,0,0,0,0.695233930913863,0.231744643637954,NA,NA,0.695233930913863,0.463489287275908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308992858183939,"hypothetical protein"
0.209322033898306,0.139548022598871,0.167457627118645,0.0837288135593225,0.186064030131828,0.0930320150659139,NA,NA,0.139548022598871,NA,0,NA,NA,NA,0,NA,0.558192090395483,NA,NA,NA,NA,NA,0.0558192090395483,NA,0.0797417271993547,0.119612590799032,NA,NA,NA,NA,NA,0.0837288135593225,NA,NA,0.111638418079097,NA,NA,NA,NA,NA,NA,0.0837288135593225,0.209322033898306,0.279096045197742,NA,0.139548022598871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0930320150659139,NA,NA,0.0558192090395483,NA,0.104661016949153,0.186064030131828,0.104661016949153,0,NA,NA,0.139548022598871,0.0697740112994354,0.0697740112994354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TonB-dependent receptor P3"
0.0408606161306181,0.0408606161306181,0.0408606161306181,0.0482898190634577,0.0482898190634577,0.0408606161306181,NA,NA,0.020430308065309,NA,0.0265594004849017,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.177062669899345,NA,0.0885313349496726,0.0758840013854336,NA,NA,0,NA,NA,0.0482898190634577,NA,NA,0.020430308065309,NA,NA,NA,NA,NA,NA,0.0482898190634577,0.0265594004849017,0.0265594004849017,NA,0.0408606161306181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020430308065309,NA,NA,0.0442656674748363,NA,0.0482898190634577,0.020430308065309,0.0482898190634577,NA,NA,NA,0.020430308065309,0.0885313349496726,0.0442656674748363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0928030303030305,0,NA,NA,NA,NA,NA,0,NA,NA,0.0696022727272728,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0.0696022727272728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No product information"
0,0,0,0.0872969555490708,0,NA,0.241745415366658,0.201454512805548,0,0.187064904748009,0.218242388872677,0.20577139522281,0.174593911098142,0.181309061524993,0.104756346658885,0.187064904748009,0.130945433323606,0.181309061524993,0.243184376172412,0.299303847596814,0.214274345438628,0.322327220488877,0.218242388872677,0.187064904748009,0.183323606653049,0.0872969555490708,0.190466084834336,0.214274345438628,0.104756346658885,0.302181769208322,0.214274345438628,0.0872969555490708,0.280597357122014,0.226972084427584,0.0654727166618031,0.224477885697611,0.214274345438628,0.181309061524993,0.282036317927768,0.214274345438628,0.130945433323606,0.0872969555490708,0,0.0374129809496018,0.13718093014854,0,0.214274345438628,0.261890866647213,0.214274345438628,0.174593911098142,0.196418149985409,0.0805818051222192,0.166657824230044,0.235701779982491,0.183323606653049,0.130945433323606,0.152769672210874,0.141018158963884,0.157134519988328,0.110799982043051,0.0654727166618031,0.0436484777745354,0.0654727166618031,0.104756346658885,0.120033313879972,0.261890866647213,NA,0.101846448140583,0.0491045374963523,0.196418149985409,NA,NA,NA,0.139675128878513,NA,NA,0.0436484777745354,0,0.20951269331777,0.100727256402774,0.130945433323606,0.261890866647213,0.0654727166618031,NA,0.0374129809496018,0.0327363583309015,0.261890866647213,NA,NA,0.196418149985409,"hypothetical protein"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.0459961627789559,0,0.0344971220842169,0,0,0,0,0,0,0.0394252823819622,0,0,0,0.0459961627789559,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.137988488336868,0,"No product information"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.0994152046783628,0.149122807017544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"hypothetical protein"
NA,NA,NA,0.270064663370104,0.135032331685052,NA,0.270064663370104,0.270064663370104,0.0900215544567012,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.405096995055156,0.270064663370104,0.0900215544567012,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.135032331685052,0.270064663370104,0.270064663370104,0.405096995055156,0.270064663370104,0.270064663370104,0.180043108913402,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.135032331685052,0.180043108913402,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,0.270064663370104,NA,0.135032331685052,0.180043108913402,NA,0.270064663370104,0.154322664782916,0.270064663370104,0.192903330978646,0.135032331685052,0.0385806661957291,0.0900215544567012,0.270064663370104,0.180043108913402,0.405096995055156,0.0771613323914582,0.405096995055156,0.0900215544567012,0.154322664782916,0.216051730696083,0.135032331685052,0.270064663370104,0.270064663370104,0.0900215544567012,0.270064663370104,NA,0.810193990110311,0.0675161658425259,0.0900215544567012,0.0540129326740207,0.0540129326740207,0.0540129326740207,0.135032331685052,0.0675161658425259,0.0540129326740207,0.202548497527578,0,0.135032331685052,0.101274248763789,0.0900215544567012,0.270064663370104,0,0.0675161658425259,0,0.135032331685052,0,0,0.270064663370104,0.270064663370104,"Evolved beta-galactosidase subunit alpha"
0.133605600933489,0.133605600933489,0.133605600933489,0.133605600933489,NA,0.133605600933489,0.400816802800468,0.400816802800468,NA,0.400816802800468,0.267211201866979,0.400816802800468,0.400816802800468,0.400816802800468,0.133605600933489,0.400816802800468,NA,0.400816802800468,0.400816802800468,0.400816802800468,0.400816802800468,0.400816802800468,0,0.400816802800468,NA,0.133605600933489,0.400816802800468,0.400816802800468,0.267211201866979,0.400816802800468,0.400816802800468,0.133605600933489,0.400816802800468,0,0.267211201866979,0.400816802800468,0.400816802800468,0.400816802800468,0.400816802800468,0.400816802800468,0.400816802800468,0.133605600933489,0,0,0,0.133605600933489,0.400816802800468,NA,0.400816802800468,0.0534422403733958,0.133605600933489,NA,NA,0.400816802800468,0.267211201866979,0.133605600933489,0,0.133605600933489,0,NA,0.267211201866979,NA,NA,0.133605600933489,0.534422403733958,0.400816802800468,0.267211201866979,1.06884480746792,NA,0.133605600933489,NA,NA,NA,0.133605600933489,NA,NA,0.267211201866979,0.267211201866979,0.267211201866979,0.267211201866979,0.133605600933489,0.400816802800468,0.267211201866979,0,0.133605600933489,0.267211201866979,NA,0.267211201866979,0.178140801244653,0.400816802800468,"N-acetylhexosamine 1-kinase"
